,hangul_word,hanja_word_with_x,English_translation
0,휴대,携帶,being portable
1,형,X,elder brother from male pov
2,피곤하다,X,tired
3,포도,葡萄,grape
4,팔,X,arm | eight
5,크다,X,big
6,춥다,X,cold
7,착하다,X,to be kind / good-natured
8,차,X,car | tea
9,집,X,house
10,정말,X,"really, truly"
11,전화,電話,cellular phone | telephone
12,저,X,he / she | that
13,재미있다,X,interesting
14,작다,X,small
15,입다,X,to wear / to put on
16,일,X,one | day | work
17,이,X,this | two
18,운동하다,X,to exercise / to work out
19,우리,X,we / our
20,예술의,X,arts
21,예쁘다,X,pretty
22,열,X,ten | fever
23,언니,X,elder sister (female pov)
24,안,X,inside | not
25,아프다,X,to be hurting / ill / in pain / hurt
26,아주,X,very / quite
27,쓰다,X,to wear / to put on (a hat) | to write
28,살,X,-years old/counting unit for age | flesh
29,사람,X,human / person
30,비싸다,X,expensive
31,분,X,minute
32,보다,X,to see / to watch / to look at
33,보내다,X,to send / to mail
34,배고프다,X,hungry
35,배,X,abdomen / stomach | ship/boat
36,방,X,room with a bed
37,밥,X,steamed rice | meal
38,바쁘다,X,busy
39,바꾸다,X,to change | to exchange
40,뭘,X,what (object)
41,무슨,X,what kind of
42,무섭다,X,scary
43,무겁다,X,heavy
44,목,X,neck / throat / body
45,멀다,X,far
46,맵다,X,hot and spicy
47,매일,每日,every day
48,많이,X,a lot / many / much
49,듣다,X,to listen / to hear -들 plural marker
50,덥다,X,hot
51,대학생,大學生,university student
52,눈,X,eye | snow
53,나쁘다,X,bad
54,길다,X,long
55,힘들다,X,laborous hard
56,휴가,休暇,leave / vacation
57,회의하다,X,to hold a meeting
58,회색,灰色,grey
59,회사원,會社員,company employee
60,회사,會社,company
61,화장실,化粧室,rest room
62,화요일,火曜日,Tuesday
63,홍차,紅茶,black tea
64,혼자,X,alone
65,호텔,X,hotel
66,호주,濠洲,Australia
67,호선,號線,subway line number
68,허리,X,waist
69,햄버거,X,hamburger
70,핸드폰,X,mobile phone
71,항상,恒常,always
72,할아버지,X,grandfather
73,할머니,X,grandmother
74,한복,韓服,hanbok (traditional Korean costume)
75,한번,X,once
76,한라산,漢拏山,Hallasan
77,한국어,韓國語,Korean (language)
78,한국,韓國,Korea
79,한,X,one (when modifying a counting unit that follows)
80,학생,學生,student
