,hangul_char,hanja_char,definitions
0,가,家,see 傢伙|家伙[jia1 huo5] | 
0,가,家,"home | family | (polite) my (sister, uncle etc) | classifier for families or businesses | refers to the philosophical schools of pre-Han China | noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian | CL:個|个[ge4] | "
1,가,暇,leisure | 
2,가,街,street | CL:條|条[tiao2] | 
3,간,看,to look after | to take care of | to watch | to guard | 
3,간,看,to see | to look at | to read | to watch | to visit | to call on | to consider | to regard as | to look after | to treat (an illness) | to depend on | to feel (that) | (after verb) to give it a try | Watch out! (for a danger) | 
4,간,間,
5,갈,褐,brown | gray or dark color | coarse hemp cloth | Taiwan pr. [he2] | 
6,감,感,to feel | to move | to touch | to affect | feeling | emotion | (suffix) sense of ~ | 
7,갑,匣,box | 
8,강,康,surname Kang | 
8,강,康,healthy | peaceful | abundant | 
9,거,車,
10,건,健,healthy | to invigorate | to strengthen | to be good at | to be strong in | 
11,결,結,
12,계,計,
13,고,庫,
14,고,苦,bitter | hardship | pain | to suffer | to bring suffering to | painstakingly | 
15,고,高,surname Gao | 
15,고,高,high | tall | above average | loud | your (honorific) | 
16,공,公,"public | collectively owned | common | international (e.g. high seas, metric system, calendar) | make public | fair | just | Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4] | honorable (gentlemen) | father-in-law | male (animal) | "
17,공,工,work | worker | skill | profession | trade | craft | labor | 
18,공,空,empty | air | sky | in vain | 
18,공,空,to empty | vacant | unoccupied | space | leisure | free time | 
19,과,果,fruit | result | resolute | indeed | if really | 
19,과,果,variant of 果[guo3] | fruit | 
20,관,館,
21,교,敎,variant of 教[jiao4] | 
22,교,校,to proofread | to check | to compare | 
22,교,校,school | military officer | CL:所[suo3] | 
23,구,九,nine | 9 | 
24,구,口,"mouth | classifier for things with mouths (people, domestic animals, cannons, wells etc) | classifier for bites or mouthfuls | "
25,구,球,ball | sphere | globe | CL:個|个[ge4] | ball game | match | CL:場|场[chang3] | 
26,구,究,after all | to investigate | to study carefully | Taiwan pr. [jiu4] | 
27,구,舊,
28,국,國,
29,국,局,narrow | 
29,국,局,"office | situation | classifier for games: match, set, round etc | "
