Korean,English,hanja_word
들,plural marker,
가게,store / shop,
가다,to go,
가르치다,to teach,
가방,bag,街坊
가족,family,家族
간호사,nurse,看護師
갈색,brown,褐色
갈아타다,to transfer,
감기,cold,感氣
같이,together,
개,counting unit for general items,
걱정,worry / concern,
건강,health,健康
걷다,to walk,
걸리다,to take (time),
결혼,marriage,結婚
결혼하다,to marry,
계시다,to be/to stay (honorific),
고기,meat,
고등학생,high school student,高等學生
고민,agony / worry,苦悶
공,zero,
공부,study / learning,貢賦
공부,study / learning,工夫
공부하다,to study,
공원,park,公園
공원,park,工員
공책,notebook,空冊
공항,airport,空港
과일,fruit,
괜찮다,alright,
교실,classroom,敎室
구,nine,
구두,dress shoes,口頭
구월,September,九月
국적,nationality,國籍
귀,ear,
그,that,
그거,that (one),
그래서,so,
그런데,but/ by the way,
그럼,then / in that case,
그렇지만,but,
그리고,and,
그리다,to draw to paint,
그림,picture / drawing,
그분,that person (honorific),
극장,movie theater,劇場
금요일,Friday,金曜日
기다리다,to wait,
기분,feeling,氣分
기숙사,dormitory,寄宿舍
기자,reporter,記者
기차,train,汽車
기차표,train ticket,
기침,cough,
기타,guitar,其他
길,road / way,
길다,long,
김밥,gimbap,
김치,kimchi,
까만색,black,
깎다,to discount,
꽃,flower,
끝나다,to be finished,
끝내다,to finish,
나다,to have (a fever/a runny nose),
나쁘다,bad,
나중에,"later, next time",
날씨,weather,
남동생,younger brother,
남자,man male,男子
남편,husband,男便
낮다,low,
내,my,
내다,to pay,
내리다,to get off,
내일,tomorrow,來日
냉면,naengmyeon,冷麵
냉장고,refrigerator,冷藏庫
너무,too,
넘어지다,fall down,
네,four (when modifying a counting unit that follows),
넷,four,
년,year,
노란색,yellow,
노래하다,to sing,
녹색,green,綠色
녹차,green tea,綠茶
높다,high,
누가,who,
누구,who,
누나,elder sister from a male perspective,
눈,eye | snow,
눈사람,snowman,
뉴스,news,
뉴욕,New York,
늦다,to be late,
다니다,to go to (a company) / to work for,
다른,other,
다리,leg,
다섯,five,
다음,next,
다이어트,diet,
다치다,to be hurt,
닫다,to close,
달,month,
달러,dollar,
달리다,to run,
담배,cigarette,
대학생,college student,大學生
대학생,university student,大學生
더,more,
덥다,hot,
도서관,library,圖書館
도와주다,to help,
도착하다,to arrive,
도쿄,Tokyo,
독일,Germany,獨逸
돈,money,
동생,younger brother or sister,同生
두,two (when modifying a counting unit that follows),
둘,two,
뒤,behind,
뒷사람,person behind,
드라마,drama (TV series),
드시다,to eat (honorific),
듣다,to listen to hear,
들다,to be contained,
들어가다,to go in to enter,
등산,mountain climbing / hiking,登山
따뜻하다,warm,
딸,daughter,
땀,sweat,
또,again / once more,
똑똑하다,smart,
런던,London,
로마,Rome,
마드리드,Madrid,
만나다,to meet,
만들다,to make,
만지다,to touch,
많다,many / much,
많이,a lot,
많이,many much,
말레이시아,Malaysia,
말하기,speaking,
맛없다,untasty,
맛있다,tasty / delicious,
맞다,right,
매일,everyday,每日
매일,every day,每日
맥주,beer,麥酒
맵다,hot and spicy,
머리,head,
먹다,to eat,
멀다,far,
멋있다,"to be nice, to be stylish",
메뉴,menu,
며칠,what date,
명,counting unit for people,
명동,Myeong-dong,鳴動
명동역,Myeongdong Station,
몇,how many,
모자,hat / cap,母子
모자,hat / cap,帽子
목,neck throat,
목요일,Thursday,木曜日
무겁다,heavy,
무섭다,scary,
무슨,what kind of,
문,door,
물,water,
