hangul_word,hanja_word_with_x,English_translation
휴대,携帶,being portable
형,X,elder brother from male pov
피곤하다,X,tired
포도,葡萄,grape
팔,X,arm | eight
크다,X,big
춥다,X,cold
착하다,X,to be kind / good-natured
차,X,car | tea
집,X,house
정말,X,"really, truly"
전화,電話,cellular phone | telephone
저,X,he / she | that
재미있다,X,interesting
작다,X,small
입다,X,to wear / to put on
일,X,one | day | work
이,X,this | two
운동하다,X,to exercise / to work out
우리,X,we / our
예술의,X,arts
예쁘다,X,pretty
열,X,ten | fever
언니,X,elder sister (female pov)
안,X,inside | not
아프다,X,to be hurting / ill / in pain / hurt
아주,X,very / quite
쓰다,X,to wear / to put on (a hat) | to write
살,X,-years old/counting unit for age | flesh
사람,X,human / person
비싸다,X,expensive
분,X,minute
보다,X,to see / to watch / to look at
보내다,X,to send / to mail
배고프다,X,hungry
배,X,abdomen / stomach | ship/boat
방,X,room with a bed
밥,X,steamed rice | meal
바쁘다,X,busy
바꾸다,X,to change | to exchange
뭘,X,what (object)
무슨,X,what kind of
무섭다,X,scary
무겁다,X,heavy
목,X,neck / throat / body
멀다,X,far
맵다,X,hot and spicy
매일,每日,every day
많이,X,a lot / many / much
듣다,X,to listen / to hear -들 plural marker
덥다,X,hot
대학생,大學生,university student
눈,X,eye | snow
나쁘다,X,bad
길다,X,long
힘들다,X,laborous hard
휴가,休暇,leave / vacation
회의하다,X,to hold a meeting
회색,灰色,grey
회사원,會社員,company employee
회사,會社,company
화장실,化粧室,rest room
화요일,火曜日,Tuesday
홍차,紅茶,black tea
혼자,X,alone
호텔,X,hotel
호주,濠洲,Australia
호선,號線,subway line number
허리,X,waist
햄버거,X,hamburger
핸드폰,X,mobile phone
항상,恒常,always
할아버지,X,grandfather
할머니,X,grandmother
한복,韓服,hanbok (traditional Korean costume)
한번,X,once
한라산,漢拏山,Hallasan
한국어,韓國語,Korean (language)
한국,韓國,Korea
한,X,one (when modifying a counting unit that follows)
학생,學生,student
학교,學校,school
하얀색,X,white
하루,X,one day
하다,X,to do
하나,X,one
피자,X,pizza
피우다,X,to smoke (a cigarette)
피아노,X,piano
피라미드,X,pyramid
피,X,blood
프랑스어,X,French (language)
프랑스,X,France
표,X,ticket
포크,X,fork
편하다,X,comfortable
편지,便紙,letter
파티,X,party
파리,X,Paris
파란색,X,blue
티셔츠,X,T-shirt
특히,X,especially
투표하다,X,to vote
투표,投票,vote
토요일,土曜日,Saturday
텔레비전,X,television
테니스,X,tennis
택시,X,taxi
태권도,跆拳道,taekwondo
타다,X,to get on to ride
콧물,X,runny nose
콜라,X,cola
코트,X,coat
코,X,nose
케이크,X,cake
컴퓨터,X,computer
커피숍,X,coffee shop
커피,X,coffee
캐나다,X,Canada
카메라,X,camera
침대,寢臺,bed
칠,X,seven
친구,親舊,friend
치마,X,skirt
치다,X,to play / to hit / to strike
층,X,floor
춤추다,X,to dance
출발하다,X,to depart
출발,出發,departure
출근하다,X,to go to work
축구,蹴球,soccer
추석,秋夕,the Korean Thanksgiving
초등학생,初等學生,elementary school student
청소하다,X,to clean
청소,淸掃,cleaning
청바지,X,jeans
천,X,thousand
책상,冊床,desk
책방,冊房,bookstore
책,X,book
찾다,X,to look for
창문,窓門,window
참,X,very / really
찬물,X,cold water
찍다,X,to take (a picture)
찌다,X,to gain (weight)
쯤,X,about / around
짧다,X,short
집안일,X,chores
질문,質問,question
직원,職員,staff
직업,職業,job/ occupation
지하철역,地下鐵驛,subway station
지하철,地下鐵,subway
지우개,X,eraser
지난,至難,last
지금,只今,now
지갑,紙匣,wallet
중학생,中學生,middle school student
중국어,中國語,Chinese (language)
중국,中國,China
준비하다,X,to prepare
주차장,駐車場,parking lot
주일,週日,week
주스,X,juice
주소,住所,address
주말,週末,weekend
주다,X,to give
좋아하다,X,to like
좋다,X,good
좀,X,please
조금,X,"a little, a bit, a little bit"
제주도,濟州島,Jeju Island
제,X,my
젓가락,X,chopsticks
점심,點心,lunch
전화하다,X,to call
전화번호,電話番號,telephone number
전혀,X,not at all
저분,X,that person (honorific)
저녁,X,evening
저거,X,that (one)
재미없다,X,not interesting
장미,薔薇,rose
잘하다,X,be good at
잔,X,counting unit for glasses or cups
작년,昨年,last year
자주,自主,often
자전거,自轉車,bicycle
자리,X,seat place
자다,X,to sleep
있다,X,to have
읽다,X,to read
일하다,X,to work
일요일,日曜日,Sunday
일어나다,X,to get up
일본어,日本語,Japanese (language)
일기,日記,diary
일곱,X,seven
인천공항,仁川空港,Incheon Airport
인사동,X,Insa-dong
이용,利用,use
이야기하다,X,to talk
이상하다,X,to be strange
이분,X,this person (honorific)
이번,X,this time
이메일,X,e-mail
이름,X,name
이렇게,X,like this /in this way
이거,X,this (one)
의자,椅子,chair
의사,醫師,doctor
음악,音樂,music
음식,飮食,food
은행원,銀行員,bank clerk
은행,銀行,bank
육,X,six
유럽,X,Europe
위,X,above / on
월요일,月曜日,Monday
월,X,month
원,X,KRW / won (Korean money)
운전하다,X,to drive
운전,運轉,driving
