Korean,hanja_word
공부,"['貢賦', '工夫']"
공원,"['公園', '工員']"
대학생,"['大學生', '大學生']"
매일,"['每日', '每日']"
모자,"['母子', '帽子']"
사과,"['沙果', '赦過', '謝過']"
사전,"['死前', '辭典', '事前', '事典', '私電', '私田']"
시계,"['視界', '市界', '時計']"
시장,"['市場', '市長']"
시청,"['市廳', '視聽']"
신문,"['訊問', '新聞']"
연구원,"['硏究員', '硏究院']"
영어,"['囹圄', '英語']"
영화,"['榮華', '映畵']"
은행,"['銀行', '銀杏']"
의사,"['擬似', '意思', '醫師', '義士']"
의자,"['倚子', '椅子']"
인도,"['引導', '人道', '引渡']"
일기,"['一期', '日記', '日氣']"
전화,"['轉化', '電話']"
주일,"['駐日', '主日', '週日']"
직원,"['直員', '職員']"
호주,"['濠洲', '戶主']"
