hangul_char,hanja_char
가,家
가,暇
가,街
간,看
간,間
갈,褐
감,感
갑,匣
강,康
거,車
건,健
결,結
계,計
고,庫
고,苦
고,高
공,公
공,工
공,空
과,果
관,館
교,敎
교,校
구,九
구,口
구,球
구,究
구,舊
국,國
국,局
권,拳
극,劇
금,今
금,金
기,其
기,寄
기,機
기,氣
기,汽
기,記
난,難
남,男
내,來
내,內
냉,冷
년,年
녹,綠
당,堂
대,大
대,帶
대,臺
도,圖
도,島
도,萄
도,道
독,獨
돌,突
동,動
동,同
두,頭
등,登
등,等
라,拏
리,理
만,萬
말,末
매,每
맥,麥
면,麵
명,鳴
모,帽
목,木
무,務
문,問
문,聞
문,門
미,美
미,薇
민,悶
발,發
방,坊
방,房
방,放
백,百
번,番
병,病
복,服
본,本
부,夫
부,釜
분,分
비,飛
사,事
사,四
사,寫
사,師
사,沙
사,社
사,舍
사,辭
산,傘
산,山
삼,三
상,常
상,床
색,色
생,生
서,書
석,夕
선,線
선,鮮
성,姓
세,洗
소,小
소,所
소,掃
속,束
수,水
숙,宿
시,十
시,市
시,時
시,試
식,食
신,新
실,室
심,心
십,十
악,樂
안,案
야,野
약,約
약,藥
어,語
업,業
여,女
여,旅
역,驛
연,硏
연,鉛
엽,葉
영,映
영,泳
영,英
오,五
오,午
온,溫
외,外
요,料
요,曜
용,用
우,牛
우,郵
우,雨
운,運
원,員
원,園
원,院
월,月
유,乳
은,銀
음,音
음,飮
의,椅
의,醫
이,二
이,利
인,仁
일,一
일,日
일,逸
자,子
자,者
자,自
작,昨
장,場
장,粧
장,薔
장,藏
적,籍
전,典
전,前
전,轉
전,電
점,店
점,點
제,濟
제,題
족,族
주,主
주,住
주,州
주,洲
주,週
주,酒
주,駐
중,中
지,只
지,地
지,紙
지,至
직,職
진,眞
질,質
차,茶
차,車
창,窓
채,菜
책,冊
천,川
철,鐵
청,廳
청,淸
체,遞
초,初
추,秋
축,蹴
출,出
친,親
침,寢
타,他
탁,濯
태,跆
토,土
투,投
편,便
포,包
포,葡
표,票
표,表
필,筆
하,下
학,學
한,漢
한,韓
함,銜
항,恒
항,港
행,行
험,驗
호,濠
호,號
호,護
혼,婚
홍,紅
화,化
화,火
화,畵
화,話
화,貨
회,會
회,灰
회,膾
후,後
휴,休
휴,携
