hanja_word,hangul_word
總監督,총감독
行悖,행패
與圈,여권
石窟,석굴
劣等意識,열등의식
能書不擇筆,능서불택필
未曾有,미증유
開館,개관
輕減,경감
山野,산야
挑戰感,도전감
名物,명물
非敎育的,비교육적
赤字,적자
硏究課,연구과
敏捷,민첩
賣票所,매표소
所得稅,소득세
修身齊家,수신제가
委囑,위촉
落傷,낙상
牧畜,목축
官名,관명
防穀令,방곡령
極端論,극단론
正規,정규
神經質,신경질
要塞化,요새화
論議,논의
人類學界,인류학계
不可分,불가분
金融人,금융인
端午,단옷
戰功,전공
官紗,관사
難堪,난감
名門大,명문대
養護,양호
英字,영자
汝南月旦,여남월단
所在地,소재지
審議室,심의실
上京,상경
退潮,퇴조
獨自的,독자적
歷史家,역사가
行樂,행락
就學率,취학률
報償金,보상금
心搏出量,심박출량
特記,특기
通用,통용
初任,초임
預金,예금
派遣隊,파견대
濟州島,제주도
言兼,언겸
獨逸,독일
小型車,소형차
餘他,여타
課外費,과외비
分析學者,분석학자
受驗生,수험생
近緣種,근연종
大勳章,대훈장
次順位者,차순위자
商業劇,상업극
金錢的,금전적
蹉跌,차질
偏狹,편협
敎鍊,교련
宣布,선포
靑少年團,청소년단
統治權,통치권
副團長,부단장
風沙,풍사
部族制,부족제
辛未洋擾,신미양요
潛伏期,잠복기
准尉,준위
六頭品,육두품
救命艇,구명정
報道陣,보도진
柔能制剛,유능제강
儒敎的,유교적
排他的,배타적
傳統美,전통미
綴錦,철금
財産,재산
正確性,정확성
副班長,부반장
生物學,생물학
長點,장점
司牧,사목
逍風,소풍
應試生,응시생
銀賞,은상
險口,험구
血脈,혈맥
柱聯,주련
冠飾,관식
荒廢性,황폐성
理性的,이성적
回信,회신
沙鉢農事,사발농사
再調整,재조정
世代論,세대론
廣大,광대
老妄,노망
先賞後罰,선상후벌
廢止,폐지
故障,고장
見金如石,견금여석
禍機,화기
移替,이체
必要金,필요금
最長,최장
社會部,사회부
始作鐘,시작종
多數人,다수인
經由地,경유지
歲不我與,세불아여
慘澹,참담
閉塞,폐색
別風淮雨,별풍회우
供養,공양
製品店,제품점
合理的,합리적
長老,장로
脫集團主義,탈집단주의
球心,구심
同社,동사
佳人薄命,가인박명
同一,동일
敎條主義,교조주의
處罰,처벌
不引渡,불인도
素材,소재
農樂隊,농악대
恝視,괄시
異敎徒,이교도
彈力,탄력
入場,입장
彈劾權,탄핵권
斷品,단품
附屬,부속
學習,학습
交感,교감
分化的,분화적
醉中,취중
率先垂範,솔선수범
防水量,방수량
太子,태자
劃一性,획일성
重築,중축
紅羅,홍라
內需,내수
密魚,밀어
透明性,투명성
成果物,성과물
八苦,팔고
初級,초급
平職員,평직원
美術品,미술품
居住者,거주자
少年部,소년부
超能力,초능력
名札,명찰
前代未聞,전대미문
生活者,생활자
紅茶,홍차
見本市,견본시
修習制,수습제
喜悅感,희열감
水理學,수리학
剛柔兼全,강유겸전
內在化,내재화
綜合的,종합적
內外國,내외국
潛在,잠재
論點,논점
萬六千,만육천
飛鷹走狗,비응주구
五廟制,오묘제
慣性,관성
花崗石,화강석
路幅,노폭
山塊形,산괴형
慨歎調,개탄조
體組織,체조직
經濟學的,경제학적
新鮮,신선
國民的,국민적
平民,평민
脫政治化,탈정치화
冠婚喪祭,관혼상제
快晴,쾌청
不渡率,부도율
擔當者,담당자
後進性,후진성
史的,사적
鑑賞者,감상자
螳螂拒轍,당랑거철
面前,면전
盲龜浮木,맹귀부목
日常服,일상복
船頭,선두
自力更生,자력갱생
北伐,북벌
誠金,성금
同文受學,동문수학
相扶相助的,상부상조적
期待値,기대치
入學難,입학난
鐵造,철조
會見,회견
過恭非禮,과공비례
天敵,천적
引上,인상
銃身,총신
雲雨之情,운우지정
相關關係,상관관계
問診,문진
剩餘金,잉여금
紀元,기원
合唱團,합창단
大陸性,대륙성
工高,공고
謳歌,구가
製作權,제작권
鹽化,염화
公約,공약
救援者,구원자
學術,학술
醫學的,의학적
觀覽者的,관람자적
男女有別,남녀유별
科學徒,과학도
憮然,무연
順理,순리
潛在意識,잠재의식
原子核,원자핵
利得金,이득금
日程表,일정표
新株,신주
入札制,입찰제
權利,권리
田制,전제
頂點,정점
夫妻,부처
無爲徒食,무위도식
排卵日,배란일
黑船,흑선
公表罪,공표죄
國家,국가
先唱,선창
煽動的,선동적
國役,국역
槪念化,개념화
宋襄之仁,송양지인
不景氣,불경기
單于,선우
黑魔術,흑마술
上限價,상한가
先物,선물
未成熟,미성숙
正坐,정좌
無理手,무리수
死角,사각
逆旅過客,역려과객
黃昏,황혼
送油管,송유관
儒學派,유학파
高見,고견
不測,불측
輕重,경중
本文,본문
大講堂,대강당
息者欲勞,식자욕로
殘編斷簡,잔편단간
愛校心,애교심
威信,위신
設計,설계
公納制,공납제
中水道,중수도
提言,제언
頭腦的,두뇌적
機能,기능
塗裝,도장
雜誌社,잡지사
長木廛,장목전
黃狗,황구
經理課,경리과
工業部,공업부
收納,수납
未婚者,미혼자
交代者,교대자
訓話,훈화
節酒,절주
一擧兩得,일거양득
胎敎,태교
莎草科,사초과
執典,집전
減少分,감소분
觀光地,관광지
對牛彈琴,대우탄금
假象,가상
富者,부잣
白癬菌,백선균
農村,농촌
衝擊式,충격식
工業體,공업체
濫觴,남상
賣買春,매매춘
灼熱,작열
新派劇,신파극
日刊紙,일간지
强盜團,강도단
奴婢,노비
微賤,미천
懷疑感,회의감
謝絶,사절
雜識,잡식
前王,전왕
倭-醬,왜된장
齊一,제일
勿驚,물경
訪日,방일
鮮初,선초
車載斗量,거재두량
投手,투수
水月鏡花,수월경화
仲裁人,중재인
發生的,발생적
佛國,불국
基本料金,기본요금
疑懼心,의구심
階級性,계급성
偉人傳,위인전
二三,이삼
修正主義者,수정주의자
利子率,이자율
徵稅,징세
擊滅,격멸
四節氣,사절기
露店,노점
統制策,통제책
廣袖,광수
約條,약조
穀類,곡류
硏究室,연구실
專力,전력
