Korean,English,word_in_English_def,num_definitions_with_word
한,one (when modifying a counting unit that follows),one,7
하루,one day,one,7
하나,one,one,7
저거,that (one),one,7
일,one,one,7
이거,this (one),one,7
그거,that (one),one,7
-,-,one,7
학생,student,student,6
초등학생,elementary school student,student,6
중학생,middle school student,student,6
대학생,university student,student,6
대학생,college student,student,6
고등학생,high school student,student,6
-,-,student,6
저분,that person (honorific),person,6
이분,this person (honorific),person,6
사람,person,person,6
사람,"human, person",person,6
뒷사람,person behind,person,6
그분,that person (honorific),person,6
-,-,person,6
전혀,not at all,not,6
재미없다,not interesting,not,6
없다,not to have,not,6
안,not,not,6
아직,"(not) yet, still",not,6
별로,"not really, not particularly",not,6
-,-,not,6
저분,that person (honorific),honorific,6
이분,this person (honorific),honorific,6
성함,name (honorific),honorific,6
드시다,to eat (honorific),honorific,6
그분,that person (honorific),honorific,6
계시다,to be/to stay (honorific),honorific,6
-,-,honorific,6
잔,counting unit for glasses or cups,counting_unit,6
살,-years old/counting unit for age | flesh,counting_unit,6
병,counting unit for bottles,counting_unit,6
번,counting unit after number,counting_unit,6
명,counting unit for people,counting_unit,6
개,counting unit for general items,counting_unit,6
-,-,counting_unit,6
출근하다,to go to work,work,5
일하다,to work,work,5
일,work,work,5
운동하다,to exercise / to work out,work,5
다니다,to go to (a company) / to work for,work,5
-,-,work,5
어떤,what kind of,what,5
뭘,what (object),what,5
뭐,what,what,5
무슨,what kind of,what,5
며칠,what date,what,5
-,-,what,5
찍다,to take (a picture),take,5
샤워하다,to take a shower,take,5
벗다,to take off,take,5
받다,to receive /to take /to get,take,5
걸리다,to take (time),take,5
-,-,take,5
학교,school,school,5
초등학생,elementary school student,school,5
중학생,middle school student,school,5
방학,school holidays,school,5
고등학생,high school student,school,5
-,-,school,5
타다,to get on to ride,on,5
입다,to wear / to put on,on,5
위,above / on,on,5
쓰다,to wear /to put on (a hat),on,5
신다,to put on (shoes),on,5
-,-,on,5
한국어,Korean (language),language,5
프랑스어,French (language),language,5
중국어,Chinese (language),language,5
일본어,Japanese (language),language,5
영어,English (language),language,5
-,-,language,5
