hangul_word,English_translation,hanja_word_with_x,hangul_hanja_tuple,hangul_hanja_char_tuple,hangul_seq,hanja_seq,hangul_hanja_tuple_num_parts,hangul_hanja_char_tuple_rank_tuple,hangul_hanja_char_tuple_rank
독일,Germany,獨逸,"('독일', '獨逸')","('일', '逸')",일,逸,25,"(25, ('일', '逸'))",450
화요일,Tuesday,火曜日,"('화요일', '火曜日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
토요일,Saturday,土曜日,"('토요일', '土曜日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
주일,week,週日,"('주일', '週日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
일요일,Sunday,日曜日,"('일요일', '日曜日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
일요일,Sunday,日曜日,"('일요일', '日曜日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
일본어,Japanese (language),日本語,"('일본어', '日本語')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
일기,diary,日記,"('일기', '日記')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
월요일,Monday,月曜日,"('월요일', '月曜日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
요일,a day of the week,曜日,"('요일', '曜日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
수요일,Wednesday,水曜日,"('수요일', '水曜日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
생일,birthday,生日,"('생일', '生日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
목요일,Thursday,木曜日,"('목요일', '木曜日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
매일,every day,每日,"('매일', '每日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
내일,tomorrow,來日,"('내일', '來日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
금요일,Friday,金曜日,"('금요일', '金曜日')","('일', '日')",일,日,25,"(25, ('일', '日'))",449
십일월,November,十一月,"('십일월', '十一月')","('일', '一')",일,一,25,"(25, ('일', '一'))",448
집안일,chores,X,"('집안일', 'X')","('일', 'X')",일,X,25,"(25, ('일', 'X'))",447
일하다,to work,X,"('일하다', 'X')","('일', 'X')",일,X,25,"(25, ('일', 'X'))",447
일어나다,to get up,X,"('일어나다', 'X')","('일', 'X')",일,X,25,"(25, ('일', 'X'))",447
일곱,seven,X,"('일곱', 'X')","('일', 'X')",일,X,25,"(25, ('일', 'X'))",447
일,one | day | work,X,"('일', 'X')","('일', 'X')",일,X,25,"(25, ('일', 'X'))",447
이메일,e-mail,X,"('이메일', 'X')","('일', 'X')",일,X,25,"(25, ('일', 'X'))",447
세일,sale,X,"('세일', 'X')","('일', 'X')",일,X,25,"(25, ('일', 'X'))",447
과일,fruit,X,"('과일', 'X')","('일', 'X')",일,X,25,"(25, ('일', 'X'))",447
사전,dictionary,辭典,"('사전', '辭典')","('사', '辭')",사,辭,20,"(20, ('사', '辭'))",446
기숙사,dormitory,寄宿舍,"('기숙사', '寄宿舍')","('사', '舍')",사,舍,20,"(20, ('사', '舍'))",445
회사원,company employee,會社員,"('회사원', '會社員')","('사', '社')",사,社,20,"(20, ('사', '社'))",444
회사,company,會社,"('회사', '會社')","('사', '社')",사,社,20,"(20, ('사', '社'))",444
여행사,travel agency,旅行社,"('여행사', '旅行社')","('사', '社')",사,社,20,"(20, ('사', '社'))",444
사과,apple,沙果,"('사과', '沙果')","('사', '沙')",사,沙,20,"(20, ('사', '沙'))",443
의사,doctor,醫師,"('의사', '醫師')","('사', '師')",사,師,20,"(20, ('사', '師'))",442
요리사,chef,料理師,"('요리사', '料理師')","('사', '師')",사,師,20,"(20, ('사', '師'))",442
