hangul_word,English_translation,hanja_word_with_x,hangul_hanja_tuple,hangul_hanja_char_tuple,hangul_seq,hanja_seq,hangul_hanja_tuple_num_parts,hangul_hanja_char_tuple_rank_tuple,hangul_hanja_char_tuple_rank
할아버지,grandfather,X,"('할아버지', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
피아노,piano,X,"('피아노', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
좋아하다,to like,X,"('좋아하다', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아홉,nine,X,"('아홉', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아프리카,Africa,X,"('아프리카', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아프다,to be hurting / ill / in pain / hurt,X,"('아프다', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아침,morning,X,"('아침', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아직,"(not) yet, still",X,"('아직', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아주,very / quite,X,"('아주', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아이스크림,ice cream,X,"('아이스크림', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아이,child,X,"('아이', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아버지,father,X,"('아버지', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아래,under / below,X,"('아래', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아들,son,X,"('아들', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아내,wife,X,"('아내', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아까,"earlier (today), a while ago (today)",X,"('아까', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
아기,baby,X,"('아기', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
말레이시아,Malaysia,X,"('말레이시아', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
갈아타다,to transfer,X,"('갈아타다', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",265
케이크,cake,X,"('케이크', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
이야기하다,to talk,X,"('이야기하다', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
이상하다,to be strange,X,"('이상하다', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
이분,this person (honorific),X,"('이분', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
이번,this time,X,"('이번', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
이메일,e-mail,X,"('이메일', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
이름,name,X,"('이름', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
이렇게,like this /in this way,X,"('이렇게', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
이거,this (one),X,"('이거', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
이,this | two,X,"('이', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
아이스크림,ice cream,X,"('아이스크림', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
아이,child,X,"('아이', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
베이징,Beijing,X,"('베이징', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
말레이시아,Malaysia,X,"('말레이시아', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
많이,a lot / many / much,X,"('많이', 'X')","('이', 'X')",이,X,17,"(17, ('이', 'X'))",264
