hanja_char,hanja_word_with_x,hangul_word,English_translation
日,金曜日,금요일,Friday
日,週日,주일,week
日,生日,생일,birthday
日,火曜日,화요일,Tuesday
日,水曜日,수요일,Wednesday
日,每日,매일,every day
日,木曜日,목요일,Thursday
日,月曜日,월요일,Monday
日,曜日,요일,a day of the week
日,日記,일기,diary
日,日本語,일본어,Japanese (language)
日,日曜日,일요일,Sunday
日,日曜日,일요일,Sunday
日,土曜日,토요일,Saturday
日,來日,내일,tomorrow
日,-,-,-
生,高等學生,고등학생,high school student
生,生鮮膾,생선회,sliced raw fish
生,生鮮,생선,fish
生,生日,생일,birthday
生,學生,학생,student
生,女同生,여동생,younger sister
生,大學生,대학생,university student
生,同生,동생,younger brother or sister
生,初等學生,초등학생,elementary school student
生,中學生,중학생,middle school student
生,-,-,-
月,月曜日,월요일,Monday
月,四月,사월,April
月,十月,시월,October
月,十二月,십이월,December
月,十一月,십일월,November
月,五月,오월,May
月,九月,구월,September
月,三月,삼월,March
月,-,-,-
曜,金曜日,금요일,Friday
曜,火曜日,화요일,Tuesday
曜,水曜日,수요일,Wednesday
曜,木曜日,목요일,Thursday
曜,月曜日,월요일,Monday
曜,曜日,요일,a day of the week
曜,日曜日,일요일,Sunday
曜,土曜日,토요일,Saturday
曜,-,-,-
國,韓國語,한국어,Korean (language)
國,韓國,한국,Korea
國,英國,영국,the United Kingdom
國,美國,미국,the United States of America
國,外國,외국,foreign country
國,國籍,국적,nationality
國,中國語,중국어,Chinese (language)
國,中國,중국,China
國,-,-,-
學,高等學生,고등학생,high school student
學,放學,방학,school holidays
學,學生,학생,student
學,學校,학교,school
學,大學生,대학생,university student
學,初等學生,초등학생,elementary school student
學,中學生,중학생,middle school student
學,-,-,-
行,飛行機,비행기,airplane
行,銀行員,은행원,bank clerk
行,銀行,은행,bank
行,旅行하다,여행하다,to travel
行,旅行社,여행사,travel agency
行,旅行,여행,trip travel
行,-,-,-
運,運轉하다,운전하다,to drive
運,運轉,운전,driving
運,運動하다,운동하다,to exercise / to work out
運,運動,운동,exercise / workout
運,-,-,-
語,韓國語,한국어,Korean (language)
語,英語,영어,English (language)
語,日本語,일본어,Japanese (language)
語,中國語,중국어,Chinese (language)
語,-,-,-
水,水泳하다,수영하다,to swim
水,水泳場,수영장,swimming pool
水,水泳,수영,swimming
水,水曜日,수요일,Wednesday
水,-,-,-
料,料金,요금,fare charge
料,料理하다,요리하다,to cook
料,料理師,요리사,chef
料,料理,요리,cooking
料,-,-,-
子,男子,남자,man male
子,椅子,의자,chair
子,帽子,모자,hat / cap
子,女子,여자,woman female
子,-,-,-
場,駐車場,주차장,parking lot
場,水泳場,수영장,swimming pool
場,市場,시장,market
場,劇場,극장,movie theater
場,-,-,-
員,銀行員,은행원,bank clerk
員,職員,직원,staff
員,硏究員,연구원,researcher
